,Admission grade,Age at enrollment,Completion_Age_Interaction,Completion_Grade_Interaction,Completion_Rate_1st,Completion_Rate_2nd,Course_9991,Curricular units (Average grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Grade_Interaction,Grouped Admission grade,Grouped Age at enrollment,Grouped Curricular units 1st sem (grade),Grouped Curricular units 2nd sem (grade),Grouped Previous qualification (grade),International,Previous_Age_Interaction,Total Curricular units (approved),Total Curricular units (enrolled),Total Curricular units (evaluations),Inflation rate,Course_9119,Course_9853,Unemployment rate,Gender,Debtor,Tuition fees up to date,Previous qualification (grade),Scholarship holder,Curricular units 1st sem (evaluations),Target
1,1.0922975931855698,-0.5802977382593059,0.44104965596720996,0.5954677813151088,0.7056750292850741,0.7554518972069866,0.0,0.5191593809982723,0.4951227244682145,0.6471109749224541,0.5605597989087295,-0.24464308168259716,-0.2136493777698344,0.6191993638352673,1.7046796570778522,5,2,5,4,6,0,0.06551299216294816,0.559106161995854,-0.23602637676582483,-0.2228988210879533,-1.110384753651496,0.0,0.0,0.8455843772974432,1,0,0,2.0958643542569755,0,-0.30941392681080665,0
2,-0.14072283212218928,-0.5802977382593059,-2.3173435308952084,-2.3851758791855806,-2.1341910393764048,-1.8608222791175109,0.0,-2.468741534954956,-2.160114231063366,-2.3545056132786795,-1.8926128332732552,-0.24464308168259716,-3.407829676090328,-2.015818265441728,-0.4784290596609571,3,2,1,1,2,0,-0.8988907675903193,-1.940283573741177,-0.23602637676582483,-3.979895532050617,0.11813316424757049,0.0,0.0,-0.3141571814966957,1,0,0,-0.8145227931780097,0,-3.7299466583480525,1
3,-0.5029661209131695,-0.4545720248047698,0.4859743835935537,0.49112483261984785,0.7056750292850741,0.42702869207975125,0.0,0.44829643240342926,0.4951227244682145,0.5245960121387343,0.3662249118801259,-0.24464308168259716,0.5282769532557335,0.3749782177071557,-0.7085308957907261,2,3,5,3,2,0,-0.7164646901849622,0.3963219482235852,-0.23602637676582483,0.33295669958431706,-1.4717135530335743,0.0,0.0,-0.8379114338553393,0,0,1,-0.8145227931780097,0,0.13234810842999647,0
4,1.0226354222642275,2.6885708115586326,1.0440886335355897,0.48268865771833724,0.34918413668597825,0.7554518972069866,0.0,0.4284024594612525,0.28478075056137203,0.2897756668032716,0.5605597989087295,-0.24464308168259716,-0.2136493777698344,0.49066191850468227,-0.8745339325767986,5,6,3,4,1,0,1.4606612731666944,0.559106161995854,-0.23602637676582483,0.08123989738962548,-1.110384753651496,0.0,0.0,0.8455843772974432,0,0,1,-2.4994837732719484,0,0.3175514656323815,0
5,-0.8373445413356124,3.317199378831313,1.302980332148534,0.46674911001717706,0.7056750292850741,0.7554518972069866,1.0,0.3452575809277068,0.28478075056137203,0.1876798644835051,0.3662249118801259,-1.0013979656405285,1.3366692044854098,0.20145266651086569,-0.4591885976687957,1,6,3,2,3,0,2.852628408499481,0.3963219482235852,-0.9867131885437044,0.9009343169149008,-0.6767901943930018,0.0,0.0,1.7060377918866427,1,1,1,0.035616610414840884,0,0.48508828115680996,0
6,0.11006098319464366,-0.706023451713842,0.39382011045028215,0.5333942410077512,0.7056750292850741,0.7554518972069866,0.0,0.5183499365346999,0.6773292300421524,0.4970301455123975,0.8773872114336523,0.9891070465931344,0.198879225304804,0.7499862144591379,0.4960805584307666,3,1,5,5,5,0,-0.551276629856412,0.820513371698509,0.6970375052652672,0.25376200831589013,1.1298538025173899,0.0,0.0,1.4441606657073214,0,0,1,0.7172599159982984,1,0.3175514656323815,0
7,-0.9557702319018946,-0.2031205978956976,-2.3173435308952084,-2.3851758791855806,-2.1341910393764048,-1.8608222791175109,0.0,-2.468741534954956,-2.160114231063366,-2.3545056132786795,-1.8926128332732552,-1.0013979656405285,-0.46668524621215607,-2.015818265441728,-1.1452615638755221,1,4,1,1,1,0,-0.4660339466717705,-1.940283573741177,-0.9867131885437044,-0.46759045400718335,1.1298538025173899,0.0,0.0,1.4441606657073214,1,0,0,-1.0442901995544558,0,-0.5803809322472263,1
8,0.17275693702385214,-0.3288463113502337,0.528808816868123,0.5375540782480736,0.7056750292850741,0.7554518972069866,0.0,0.5321976840908349,0.4951227244682145,0.6203108268135153,0.5605597989087295,-0.24464308168259716,0.005540261451490334,0.7110118247856853,0.34003826766936834,3,4,5,5,5,1,-0.13050141913367155,0.559106161995854,-0.23602637676582483,0.08123989738962548,-0.6767901943930018,0.0,0.0,1.7060377918866427,0,0,1,0.3343142387042214,1,0.13234810842999647,0
9,-0.26611473978060524,-0.706023451713842,0.23558481617791183,0.39935428578211096,0.34918413668597825,-0.7749703875479748,0.0,0.4106972892836242,0.28478075056137203,0.08966789425652928,-0.5076128109198015,-0.24464308168259716,1.0373912933479945,0.5870650025026212,0.10929327181380546,3,1,2,4,5,0,-0.6529010534925631,-0.37198259074442147,-0.23602637676582483,0.6751428815327885,0.11813316424757049,0.0,0.0,-1.0249665239834262,0,1,0,0.4109033741630368,0,0.3175514656323815,1
10,0.26331775922159595,-0.706023451713842,0.39382011045028215,0.5435122835117765,0.7056750292850741,0.42702869207975125,0.0,0.47600502446784343,0.4951227244682145,0.2897756668032716,0.3662249118801259,-0.24464308168259716,0.005540261451490334,0.7220293200997354,0.4724843538714131,4,1,3,5,5,0,-0.6272215357852385,0.3963219482235852,-0.23602637676582483,-0.11434954044515992,-1.110384753651496,0.0,0.0,0.8455843772974432,0,0,1,0.4874925096218522,0,-0.30941392681080665,0
